cod_lugar;descripcion;observacion;Categoria;fecha_modif,;Calle/Ruta,;Coordenadas Google M,;e-mail,;Número/Km.,;Teléfono 1,;Zona;Balneario (*);Playa (*);Otros sectores costeros  (*);Boca Náutica (*);Categorias Adicionales
5004;Punta Mogotes - Balneario 02 - Alaciel;;Balneario;14/11/2021;Av. de los Trabajadores;-38.075519, -57.543197;balneario2alaciel@hotmail.com;3500;(0223) 419-8895;Punta Mogotes, Playa;;;;;
5006;La Perla - Balneario 1 - Alfonsina;;Balneario;01/11/2024;Bv. Marítimo Patricio Peralta Ramos;-37.993658, -57.543797;info@balnearioalfonsina.com.ar;1000;(0223) 491-3372;La Perla, Playa;;;;;
5008;Punta Mogotes - Balnearios 03 y 04 - Francisco;;Balneario;14/11/2021;Av. de los Trabajadores;-38.074403, -57.543412;balneariofrancisco@gmail.com;3350;(0223) 484-2612;Punta Mogotes, Playa;;;;;
5010;Punta Mogotes - Balneario 21 - Atlantis;;Balneario;14/11/2021;Av. de los Trabajadores;-38.060358, -57.540439;balnearioatlantis21@hotmail.com;1900;(0223) 484-0249;Punta Mogotes, Playa;;;;;
5012;Punta Mogotes - Balnearios 05 al 08 - Automóvil Club Argentino ACA (Sólo para socios);;Balneario;23/12/2021;Av. de los Trabajadores;-38.071382, -57.543803;dep_6548@aca.org.ar;3100;(0223) 469-9162;Punta Mogotes, Playa;;;;;
5016;Faro Norte - Balneario 04 - South Beach;;Balneario;13/11/2021;Av. de los Trabajadores;-38.085844, -57.542017;contacto@southbeachmdq.com.ar;4950;(0223) 467-1190;Punta Cantera, Playa;;;;;
5022;Punta Mogotes - Balneario 23 - Carioca;;Balneario;23/12/2021;Av. de los Trabajadores;-38.058948, -57.539337;cariocahurlingham@hotmail.com;1850;(0223) 484-2993;Punta Mogotes, Playa;;;;;
5024;Punta Mogotes - Balnearios 09 y 10 - El Carmen;;Balneario;14/11/2021;Av. de los Trabajadores;-38.069125, -57.543560;ventas@balnearioelcarmen.com.ar;2850;2236-815001;Punta Mogotes, Playa;;;;;
5025;Playas Alfar - Balneario 10 - La Caseta;;Balneario;24/02/2021;Paseo Costanero Sur Presidente Illia;-38.100461, -57.559753;;1;(0223) 467-1119;Playas Alfar;;;;;
5026;Punta Mogotes - Balneario 01 - El Portal del Sol;;Balneario;16/03/2023;Av. de los Trabajadores;-38.076065, -57.542913;balneariouno@hotmail.com;3600;;Punta Mogotes, Playa;;;;;
5030;Playas Alfar - Balneario 12 - El Taíno;;Balneario;14/11/2021;Paseo Costanero Sur Presidente Illia;-38.101090, -57.560681;info@paradoreltaino.com.ar;1;2235-944494 (WhatsApp);Playas Alfar;;;;;
5031;Playas del Sur - Cruz del Sur - UTF Arroyo Seco II;;Balneario;30/11/2019;Paseo Costanero Sur Presidente Illia;-38.183836, -57.656120;marianosur@hotmail.com;13;(0223) 460-5274;Sur;;;;;
5037;Punta Mogotes - Balneario 14 - UTHGRA del Mar;;Balneario;14/11/2021;Av. de los Trabajadores;-38.066070, -57.542857;balneario@uthgra.org.ar;2400;2236-807529;Punta Mogotes, Playa;;;;;
5040;Punta Mogotes - Balneario 20 - Mediterráneo;;Balneario;14/11/2021;Av. de los Trabajadores;-38.061333, -57.540912;info@balneariomediterraneo.com;2000;(0223) 484-4202;Punta Mogotes, Playa;;;;;
5041;Faro Norte - Balneario 02 - Guillermo;;Balneario;23/12/2021;Av. de los Trabajadores;-38.084493, -57.540578;info@playaguillermo.com;4602;(0223) 467-1233;Punta Cantera, Playa;;;;;
5043;Playas Alfar - Balneario 1 - Horizonte Club de Playa;;Balneario;24/02/2021;Paseo Costanero Sur Presidente Illia;-38.093077, -57.547496;horizonteclubdeplaya@gmail.com;;(0223) 467-1599;Playas Alfar;;;;;
5045;Punta Mogotes - Balneario 22 - Hurlingham;;Balneario;23/12/2021;Av. de los Trabajadores;-38.059984, -57.540063;cariocahurlingham@hotmail.com;1880;(0223) 484-2992;Punta Mogotes, Playa;;;;;
5046;Punta Mogotes - Balneario 13 - Ibiza;;Balneario;16/03/2023;Av. de los Trabajadores;-38.066682, -57.542076;ibizabalneariomdp@gmail.com;2470;2233-419672;Punta Mogotes, Playa;;;;;
5049;Playas Alfar - Balneario 2 - Playas del Balcón;;Balneario;23/12/2021;Paseo Costanero Sur Presidente Illia;-38.093346, -57.547774;delbalconplayas@gmail.com;0;(0223) 467-0129;Playas Alfar;;;;;
5052;Playas del Sur - Manantiales Club de Mar - UTF Arroyo Lobería;;Balneario;23/12/2021;Paseo Costanero Sur Presidente Illia;-38.170990, -57.639512;manantiales@manantiales.com.ar;12;(0223) 460-5161/62;Sur;;;;;
5053;Punta Mogotes - Balneario 15 y 16 - Apolo;;Balneario;23/12/2021;Av. de los Trabajadores;-38.065010, -57.542648;contacto@balnearioapolo.com.ar;2350;(0223) 485-1188;Punta Mogotes, Playa;;;;;
5057;Punta Mogotes - Balneario 19 - Mar y Tennis;;Balneario;14/11/2021;Av. de los Trabajadores;-38.061764, -57.541331;info@balneariomarytennis.com.ar;2050;2234-429896;Punta Mogotes, Playa;;;;;
5058;Faro Norte - Balneario 05 - Marbella;;Balneario;14/11/2021;Av. de los Trabajadores;-38.087636, -57.542858;info@balneariomarbella.com.ar;4800;(0223) 467-0208;Punta Cantera, Playa;;;;;
5064;Punta Mogotes - Balneario 24 - Playa 24;;Balneario;23/12/2021;Av. de los Trabajadores;-38.056914, -57.537532;playa24mogotes@aol.com;1820;(0223) 484-2642;Punta Mogotes, Playa;;;;;
5065;Playa Grande - Balneario 1 - Ocean Club (Sólo para socios);;Balneario;23/04/2024;Paseo Victoria Ocampo;-38.029690, -57.533178;oceanclubplaya@gmail.com;;(0223) 451-8871;Playa Grande;;;;;
5069;Playa Grande - Balneario 5 - Príncipe;;Balneario;01/11/2024;Paseo Victoria Ocampo;-38.027716, -57.531769;balneario5y6@gmail.com;;(0223) 451-5652;Playa Grande;;;;;
5071;Playas del Centro - Punta Iglesia;;Balneario;01/11/2024;Bv. Marítimo Patricio Peralta Ramos;-37.999636, -57.540682;puntaiglesia@gmail.com;1800;;Playas del Centro;;;;;
5072;Punta Mogotes - Balnearios 17 y 18 - Princesa del Mar;;Balneario;14/11/2021;Av. de los Trabajadores;-38.063417, -57.542074;contacto@princesadelmar.com.ar;2150;(0223) 484-3091;Punta Mogotes, Playa;;;;;
5104;Playa Grande - Balneario 4B - Costa Galana Beach Life;;Balneario;01/11/2024;Paseo Victoria Ocampo;-38.028118, -57.531957;ventas@cgbeach.com.ar;;(0223) 410-5020;Playa Grande;;;;;
5111;Playas del Sur - UTF Playa Escondida - Playa Naturista;;Balneario;30/11/2019;Paseo Costanero Sur Presidente Illia;-38.226328, -57.728329;;24;2235-274777;Chapadmalal;;;;;
5112;Chapadmalal - Balneario Siempre Verde - UTF RCT Parador Arameo;;Balneario;28/12/2023;Paseo Costanero Sur Presidente Illia;-38.177505, -57.645616;;13;(0223) 464-2831/2/3;Sur;;;;;
5118;Playa Grande - Balneario 7 - Prius;;Balneario;01/11/2024;Paseo Victoria Ocampo;-38.026925, -57.531434;reservas@priusplayagrande.com.ar;;;Playa Grande;;;;;
5121;Faro Norte - Balneario 03 - Play Beach;;Balneario;13/02/2020;Av. de los Trabajadores;-38.0846213763321, -57.5414191859971;info@play-beach.com.ar;4760;(0223) 467-1782;Punta Cantera, Playa;;;;;
5122;La Perla - Balneario 3 - San Sebastián;;Balneario;01/11/2024;Bv. Marítimo Patricio Peralta Ramos;-37.991241, -57.544921;info@balneariosansebastian.com;890;(0223) 495-4880;La Perla, Playa;;;;;
5123;La Perla - Balneario 2 - Saint Michel;;Balneario;01/11/2024;Bv. Marítimo Patricio Peralta Ramos;-37.992709, -57.544449;balneariosaintmichel@gmail.com;1020;(0223) 495-2619;La Perla, Playa;;;;;
5124;Playas del Sur - Serena;;Balneario;31/10/2018;Paseo Costanero Sur Presidente Illia;-38.107880, -57.574965;balnearioplayaserena@hotmail.com;3;(0223) 467-2774;Playas Alfar;;;;;
5125;Playas Alfar - Balneario 13 - Piedra Marina;;Balneario;14/11/2021;Paseo Costanero Sur Presidente Illia;-38.101766, -57.561823;playapiedramarina@gmail.com;1;(0223) 467-0142;Playas Alfar;;;;;
5129;Playas del Centro - Torreón del Monje;;Balneario;16/04/2024;Paseo Jesús de Galíndez;-38.007586, -57.533631;balneario@torreondelmonjemdp.com;;(0223) 451-6125;Playas del Centro;;;;Boca Náutica;Boca Náutica
