cod_lugar;descripcion;observacion;Categoria;fecha_modif,;Calle/Ruta,;e-mail,;Coordenadas Google M,;Número/Km.,;Teléfono 1,;Zona;Pesca Recreativa  (*);Deportes de Aventura  (*);Casinos y Bingos  (*);Recreación para niños (*);Ferias y Mercados  (*);Parques Temáticos (*);Establecimientos para pasar el día (*);Emprendimientos productivos (*);Paseos Aéreos (*);Excursiones marítimas (*);Alquiler de bicicletas y motos (*);Circuitos de kartings y cuatriciclos (*);Caminatas y Actividades Físicas (*);Bowlings (*);Circuitos Guiados (*);Miradores (*);Museos y Centros Culturales (*);Reservas Ecológicas (*);Turismo Religioso (*);Guías de Turismo (*);Cabalgatas (*);Categorias Adicionales
24713;Raptor;;Pesca Recreativa ;15/01/2025;Reserva Telefónica;info@raptorpesca.com.ar;-38.041292, -57.541397;;2234-002176;Puerto;;;;;;;;;;;;;;;;;;;;;;
56758;ABC Sandokan;;Pesca Recreativa ;15/01/2025;Reserva Telefónica;info@sandokanpesca.com.ar;-38.041005, -57.541871;;114-9867694 (Whatsapp);Puerto;;;;;;;;;;;;;;;;;;;;;;
56941;Aquafish;;Pesca Recreativa ;15/01/2025;Reserva Telefónica;info@aquafish.com.ar; -38.041005, -57.541871 -;;2234-001335;Puerto;;;;;;;;;;;;;;;;;;;;;;
56942;Mako Team;;Pesca Recreativa ;03/06/2021;Reserva Telefónica;info@makoteam.com;-38.000581, -57.539991;;2234003575;Playas del Centro;;;;;;;;;;;;;;;;;;;;;;
57715;Información sobre La Pesca Recreativa en Mar del Plata;;Pesca Recreativa ;16/02/2021;;;-38.001542, -57.538112;;;;;;;;;;;;;;;;;;;;;;;;;
27101;SURF. Mar del Plata Surf School - Maximiliano Prenski;"Escuela de surf en la playa, clases iniciales aptas para chicos, niños y familias;Deportes de Aventura";Deportes de Aventura ;14/01/2025;Paseo Victoria Ocampo;maxirulos@hotmail.com;-38.026533, -57.531333;8;2234-554829 (WhatsApp);Playa Grande;;;;;;;;;;;;;;;;;;;;;;
56247;Mds - Más Deporte Salud;;Deportes de Aventura ;14/01/2025;Reserva Telefónica;masdeportesalud@hotmail.com;-37.991536, -57.545446;;2235-307264;;;;;;;;;;;;;;Caminatas y Actividades Físicas;;Circuitos Guiados;;;;;;;Caminatas y Actividades Físicas , Circuitos Guiados
56834;BUCEO. AMBA. Agrupación Marplatense de Buzos Autónomos;;Deportes de Aventura ;03/06/2021;Padre Dutto;ambamdp@gmail.com;-38.039339, -57.550677;383;2236006615;Puerto, Barrio;;;;;;;;;;;;;;;;;;;;;;
56945;PARAPENTE. Parapente Mar del Plata;;Deportes de Aventura ;14/01/2025;Reserva Telefónica;condorfernando@hotmail.com;-38.118103, -57.592952;;2235911179 (WhatsApp);;;;;;;;;;;;;;;;;;;;;;;
57081;PARAPENTE. Parapente MDQ;;Deportes de Aventura ;14/01/2025;Reserva Telefónica;edignani@hotmail.com;-38.118103, -57.592952;;(0223) 451-4595;;;;;;;;;;;;;;;;;;;;;;;
